case_id,arm_id,p_wallplug_heat_MW,R,a,I_coil_A,n_e0,T_i0_keV,eta_source_heat,tau_ratio_ash,is_baseline_point,j_wp,eta_couple_heat,availability,discount_rate,lcoe,lcoe_1cfe,p_fus,wall_load,wall_load_peak,wall_peak_calibration,beta,B_axis,B_peak,sigma_wp,eps_cond,plasma_volume,heating_capital,total_capital,magnet_capital,magnet_capital_1cfe_form,overnight_capital,cas72,replacement_cost_per_event,fuel,p_cryo,vol_cold,special_materials,beta_ok,cond_strain_ok,net_positive,peak_field_ok,recirc_ok,sustainment_ok,tbr_ok,wall_load_ok,wp_stress_ok,feasible,feasible_but_wall,p_aux_required_MW_oracle,ignited,feasible_driven,feasible_driven_but_wall,p_net_MW_oracle,core_life_fpy_from_peak,n_replacements_from_peak,wall_margin,cas72_at_limit_oracle,cas72_from_peak_oracle,lifetime_charge_above_limit_per_MWh,cas72_per_MWh,magnet_capital_shadow,lcoe_magnet_shadow,He_over_ne_oracle,wall_load_shadow_lo,wall_load_ok_shadow_lo,wall_load_shadow_hi,wall_load_ok_shadow_hi,feasible_shadow_lo,feasible_shadow_hi
20260904-wall-and-heating:c5785,arm-search-p220,220.0,17.2,2.0,15000000.0,5.06e+20,16.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,184.08108702356733,181.00076895265005,8471.463729336692,4.751517982040247,6.255092404800932,1.3164408570995383,0.05545975523009584,6.472742373905163,17.907920567804283,461364780.0611223,0.0015378826002037408,1362.3445459071904,581119000.0,28100098047.802383,7107416967.7881155,7596376234.232673,28100098047.802383,729774296.9213364,2775167797.251903,1655993.4252881114,0.9726567788117392,180.14357296247053,43981967.44059645,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False,False,-33.47703602520596,True,False,False,2796.113695465353,2.877655330268914,8.0,-2.205092404800932,437066953.5302541,729774296.9213364,14.059043008400227,35.051830637313245,6488252727.272729,180.9396750682165,0.15601307499813558,5.464245679346284,violated,8.695277907133653,violated,False,False
20260904-wall-and-heating:c5786,arm-search-p220,220.0,17.2,2.0,15000000.0,3.036e+20,17.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,294.5700658171001,288.93819800053967,4196.526102093272,2.353769062027103,3.0985977614293354,1.3164408570995383,0.036036972664138606,6.472742373905163,17.907920567804283,461364780.0611223,0.0015378826002037408,1362.3445459071904,581119000.0,21946095327.333153,7107416967.7881155,7596376234.232673,21946095327.333153,214005378.02466512,1852564532.996026,820332.808609043,0.9726567788117392,180.14357296247053,43981967.44059645,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,True,54.43514452835427,False,True,True,1194.3933132193633,5.80907926290403,4.0,0.9514022385706644,291764244.834697,214005378.02466512,-8.743383499966596,24.063250506160553,6488252727.272729,287.2159179880408,0.12139803813669472,2.706834421331168,satisfied,4.307397383509598,violated,True,False
20260904-wall-and-heating:c5787,arm-search-p220,220.0,17.2,2.0,15000000.0,3.542e+20,17.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,240.21816955136498,235.7961014669343,5408.498059480886,3.0335461033090425,3.9934840322911205,1.3164408570995383,0.04180903588471681,6.472742373905163,17.907920567804283,461364780.0611223,0.0015378826002037408,1362.3445459071904,581119000.0,23783157156.64101,7107416967.7881155,7596376234.232673,23783157156.64101,333370218.89399505,2141514393.6329682,1057247.8987506847,0.9726567788117392,180.14357296247053,43981967.44059645,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,True,19.737307042351404,False,True,True,1648.491210341214,4.5073424244226,5.0,0.056515967708879344,337271559.90106463,333370218.89399505,-0.3178368478129435,27.15920995780014,6488252727.272729,234.88981539554453,0.13159166675408887,3.4885780188053985,satisfied,5.551389369055548,violated,True,False
20260904-wall-and-heating:c5788,arm-search-p220,220.0,17.2,2.0,15000000.0,4.048e+20,17.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,209.4550825093738,205.77608310866384,6717.864880356556,3.767950474649572,4.960283952356295,1.3164408570995383,0.04754177714788035,6.472742373905163,17.907920567804283,461364780.0611223,0.0015378826002037408,1362.3445459071904,581119000.0,25675229479.554276,7107416967.7881155,7596376234.232673,25675229479.554276,506543971.9907891,2426256735.2574577,1313201.6413313998,0.9726567788117392,180.14357296247053,43981967.44059645,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False,True,-19.462802992992692,True,False,False,2139.080713090413,3.628824513453392,7.0,-0.9102839523562949,382116224.03925616,506543971.9907891,7.812086384179301,31.802916405099108,6488252727.272729,205.34876481051293,0.14073509801824644,4.333143045847008,violated,6.895349368608717,violated,False,False
20260904-wall-and-heating:c5789,arm-search-p220,220.0,17.2,2.0,15000000.0,4.554e+20,17.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,188.47565117524326,185.2965554137346,8114.88125689316,4.551516177862248,5.991801858287392,1.3164408570995383,0.05324000112064891,6.472742373905163,17.907920567804283,461364780.0611223,0.0015378826002037408,1362.3445459071904,581119000.0,27615466292.649147,7107416967.7881155,7596376234.232673,27615466292.649147,688259006.4534994,2706734162.6200233,1586289.0331304055,0.9726567788117392,180.14357296247053,43981967.44059645,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False,False,-61.42737405253365,True,False,False,2662.5104797307727,3.00410467931342,8.0,-1.9418018582873922,426289197.9519512,688259006.4534994,13.21407857410027,34.716628769665945,6488252727.272729,185.17660500873077,0.14901567496260143,5.234243604541585,violated,8.329274605487914,violated,False,False
20260904-wall-and-heating:c5790,arm-search-p220,220.0,17.2,2.0,15000000.0,5.06e+20,17.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,175.4566797201917,172.63552151790708,9591.519682349546,5.379740703835281,7.08211046313019,1.3164408570995383,0.05890757925910476,6.472742373905163,17.907920567804283,461364780.0611223,0.0015378826002037408,1362.3445459071904,581119000.0,29598536758.023064,7107416967.7881155,7596376234.232673,29598536758.023064,930313194.9568952,2983022344.78474,1874940.8649992563,0.9726567788117392,180.14357296247053,43981967.44059645,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False,False,-104.71327941781897,True,False,False,3215.77278891357,2.5416152563150307,10.0,-3.0321104631301905,469802398.9175733,930313194.9568952,19.232309006444027,38.85266315592621,6488252727.272729,172.72522275229358,0.15657424849722967,6.186701809410573,violated,9.844925488018564,violated,False,False
20260904-wall-and-heating:c5791,arm-search-p220,220.0,17.2,2.0,15000000.0,3.036e+20,18.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,266.3127274726126,261.2847660771428,4707.322030902853,2.6402668997604772,3.4757552204922235,1.3164408570995383,0.03815593236730529,6.472742373905163,17.907920567804283,461364780.0611223,0.0015378826002037408,1362.3445459071904,581119000.0,22732261835.337433,7107416967.7881155,7596376234.232673,22732261835.337433,252357785.06234658,1977866790.4664574,920182.6960427028,0.9726567788117392,180.14357296247053,43981967.44059645,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,True,51.40962204923187,False,True,True,1385.776748881357,5.17873062345596,4.0,0.5742447795077763,311498358.208777,252357785.06234658,-5.731512275472444,24.456843516119633,6488252727.272729,259.9742281446757,0.12143940664593364,3.0363069347245486,satisfied,4.831688426561674,violated,True,False
20260904-wall-and-heating:c5792,arm-search-p220,220.0,17.2,2.0,15000000.0,3.542e+20,18.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,222.63674380112894,218.63465267586537,6066.721413266443,3.402733790541907,4.479497787702549,1.3164408570995383,0.04426734396749041,6.472742373905163,17.907920567804283,461364780.0611223,0.0015378826002037408,1362.3445459071904,581119000.0,24744539021.739983,7107416967.7881155,7596376234.232673,24744539021.739983,417339581.3474706,2287691648.6459603,1185916.7546964705,0.9726567788117392,180.14357296247053,43981967.44059645,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False,True,5.059265646971198,False,False,True,1895.1122967191382,4.0183075989935615,6.0,-0.429497787702549,360293320.0941634,417339581.3474706,4.042678502222825,29.575465886334175,6488252727.272729,218.00179683431242,0.13163472336105672,3.913143859123193,satisfied,6.22700283669169,violated,True,False
20260904-wall-and-heating:c5793,arm-search-p220,220.0,17.2,2.0,15000000.0,4.048e+20,18.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,195.11839843970995,191.75683248641548,7535.340524054045,4.2264604022146735,5.563885154388744,1.3164408570995383,0.050337119285051676,6.472742373905163,17.907920567804283,461364780.0611223,0.0015378826002037408,1362.3445459071904,581119000.0,26819066249.788643,7107416967.7881155,7596376234.232673,26819066249.788643,594135960.501362,2592907123.053556,1473000.9787951512,0.9726567788117392,180.14357296247053,43981967.44059645,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False,False,-48.058855447705355,True,False,False,2445.3699539334993,3.2351494505241103,7.0,-1.5138851543887446,408362340.5338347,594135960.501362,10.202731087907981,32.63008728424898,6488252727.272729,191.5264082063606,0.14077946635874622,4.8604294625468745,violated,7.734422536052853,violated,False,False
20260904-wall-and-heating:c5794,arm-search-p220,220.0,17.2,2.0,15000000.0,4.554e+20,18.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,178.71263019826483,175.786660541203,9102.24902235338,5.105316069163734,6.720846661853951,1.3164408570995383,0.056370346646376544,6.472742373905163,17.907920567804283,461364780.0611223,0.0015378826002037408,1362.3445459071904,581119000.0,28948198252.737667,7107416967.7881155,7596376234.232673,28948198252.737667,837266802.6947536,2893483722.3946223,1779298.7160121577,0.9726567788117392,180.14357296247053,43981967.44059645,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False,False,-105.99994530969184,True,False,False,3032.454374264293,2.6782339942620688,9.0,-2.6708466618539513,455700774.8824078,837266802.6947536,16.898664892650565,37.08058394401387,6488252727.272729,175.8160507588508,0.14906107112082842,5.871113479538293,violated,9.342728406569632,violated,False,False
20260904-wall-and-heating:c5795,arm-search-p220,220.0,17.2,2.0,15000000.0,5.06e+20,18.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,167.77526922613615,165.16360917465266,10758.443573809864,6.034250955085595,7.943734499266588,1.3164408570995383,0.062371125934317366,6.472742373905163,17.907920567804283,461364780.0611223,0.0015378826002037408,1362.3445459071904,581119000.0,31125965930.97622,7107416967.7881155,7596376234.232673,31125965930.97622,1121584568.2120504,3189522584.5731764,2103050.0033737663,0.9726567788117392,180.14357296247053,43981967.44059645,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False,False,-167.14858492263033,True,False,False,3652.992216296661,2.2659367582919425,11.0,-3.8937344992665883,502324551.55892813,1121584568.2120504,22.766761678948885,41.23445383294277,6488252727.272729,165.37073495084556,0.15662045375189032,6.939388598348433,violated,11.042679247806639,violated,False,False
20260904-wall-and-heating:c5796,arm-search-p220,220.0,17.2,2.0,16000000.0,3.036e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,448.93456539682165,439.96260642694426,2887.0269659370374,1.619290477014061,2.1317001434535108,1.3164408570995383,0.02712330715199718,6.904258532165508,19.101781938991238,508261862.31562656,0.001694206207718755,1362.3445459071904,581119000.0,20599056448.278538,7577615965.640657,8102801316.514849,20599056448.278538,109373138.62632978,1500526364.2203043,564353.201166991,1.002500564065855,192.15314449330188,43981967.44059645,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,True,62.594233792599084,False,True,True,703.7243912056292,8.443964342395116,3.0,1.918299856546489,236321020.786934,109373138.62632978,-24.227010311613807,20.87300797945857,6920802909.090909,435.6938019627254,0.13041200206222156,1.86218404856617,satisfied,2.9633015729357317,satisfied,True,True
20260904-wall-and-heating:c5797,arm-search-p220,220.0,17.2,2.0,16000000.0,3.542e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,339.7928865188963,333.1422461783188,3708.680681737979,2.080143823067878,2.7383863173297875,1.3164408570995383,0.031460815971306566,6.904258532165508,19.101781938991238,508261862.31562656,0.001694206207718755,1362.3445459071904,581119000.0,21949303190.74477,7577615965.640657,8102801316.514849,21949303190.74477,160334840.1982319,1727210798.6190038,724969.2640697882,1.002500564065855,192.15314449330188,43981967.44059645,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,True,60.13654280039714,False,True,True,1011.5790591566904,6.573214263483422,3.0,1.3116136826702123,272022024.2554371,160334840.1982319,-14.827928358417372,21.286538324755153,6920802909.090909,330.5816952606223,0.1409496365756479,2.3921653965280596,satisfied,3.806663196214217,satisfied,True,True
20260904-wall-and-heating:c5798,arm-search-p220,220.0,17.2,2.0,16000000.0,4.048e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,280.1092438897593,274.7846280250376,4593.485734372721,2.5764178144957115,3.3917016759612535,1.3164408570995383,0.035768465724805944,6.904258532165508,19.101781938991238,508261862.31562656,0.001694206207718755,1362.3445459071904,581119000.0,23332027683.81003,7577615965.640657,8102801316.514849,23332027683.81003,243816947.2101762,1950421357.4690063,897930.0883899982,1.002500564065855,192.15314449330188,43981967.44059645,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,True,59.868871145459366,False,True,True,1343.0950742881562,5.3070705267433524,4.0,0.6582983240387463,307175919.83211625,243816947.2101762,-6.335462698141189,24.380022438839735,6920802909.090909,273.1716499955254,0.15035695917925235,2.962880486670068,satisfied,4.714844600527152,violated,True,False
20260904-wall-and-heating:c5799,arm-search-p220,220.0,17.2,2.0,16000000.0,4.554e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,242.5268730317316,238.0547639663969,5534.90480230103,3.1044457648965778,4.086819243559482,1.3164408570995383,0.04005003719554918,6.904258532165508,19.101781938991238,508261862.31562656,0.001694206207718755,1362.3445459071904,581119000.0,24742886687.427055,7577615965.640657,8102801316.514849,24742886687.427055,344323285.48562694,2170107540.039191,1081957.7649214312,1.002500564065855,192.15314449330188,43981967.44059645,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False,True,62.97820125411204,False,False,True,1695.8230532243347,4.404403260155593,5.0,-0.036819243559482295,341774754.05169845,344323285.48562694,0.2018303288875462,27.268599095158166,6920802909.090909,237.03228551032674,0.15884145149270557,3.570112629631064,satisfied,5.681135749760737,violated,True,False
20260904-wall-and-heating:c5800,arm-search-p220,220.0,17.2,2.0,16000000.0,5.06e+20,14.63,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,217.12103251270074,213.24053174708456,6527.592857102217,3.661229727343373,4.8197924003022194,1.3164408570995383,0.04430855527134194,6.904258532165508,19.101781938991238,508261862.31562656,0.001694206207718755,1362.3445459071904,581119000.0,26178539824.61674,7577615965.640657,8102801316.514849,26178539824.61674,462171940.7539075,2386337470.334445,1276007.4527481094,1.002500564065855,192.15314449330188,43981967.44059645,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False,True,70.44026930156201,False,False,True,2067.760337280678,3.734600685056753,6.0,-0.7697924003022196,375829255.9055291,462171940.7539075,5.607926545903656,30.017902499522815,6920802909.090909,212.614780981147,0.16655806397832273,4.210414186444879,violated,6.700050401038373,violated,False,False
20260904-wall-and-heating:c5801,arm-search-p220,220.0,17.2,2.0,16000000.0,3.036e+20,16.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,362.07993873747375,354.9558237377536,3488.520841718697,1.9566594439573235,2.575826435455085,1.3164408570995383,0.029635766683532606,6.904258532165508,19.101781938991238,508261862.31562656,0.001694206207718755,1362.3445459071904,581119000.0,21594654996.673893,7577615965.640657,8102801316.514849,21594654996.673893,146644939.2626006,1668558220.4111817,681932.6343641258,1.002500564065855,192.15314449330188,43981967.44059645,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,True,33.91137581596081,False,True,True,929.0902525683505,6.9880484772724385,3.0,1.4741735645449148,262784707.61484593,146644939.2626006,-16.788040947927744,21.197573235036682,6920802909.090909,352.0509365377422,0.13209802605420926,2.250158360550922,satisfied,3.580686782441902,satisfied,True,True
20260904-wall-and-heating:c5802,arm-search-p220,220.0,17.2,2.0,16000000.0,3.542e+20,16.0,0.5,8.0,False,118.8271604938272,1.0,0.85,0.07,286.4106991613148,280.95139092505656,4478.673545979171,2.5120213660023816,3.3069275601125283,1.3164408570995383,0.034373755153796044,6.904258532165508,19.101781938991238,508261862.31562656,0.001694206207718755,1362.3445459071904,581119000.0,23156042383.219826,7577615965.640657,8102801316.514849,23156042383.219826,235196369.8395963,1922469985.4525895,875486.7143524933,1.002500564065855,192.15314449330188,43981967.44059645,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True,True,13.346469960215927,False,True,True,1300.0775993410896,5.443118929217637,4.0,0.7430724398874715,302773800.0661319,235196369.8395963,-6.9808670270874265,24.296197378325044,6920802909.090909,279.2435514529937,0.14269477164906236,2.8888245709027385,satisfied,4.596999099784359,violated,True,False
