case_id,arm_id,R,a,is_baseline_point,availability,discount_rate,lcoe,lcoe_1cfe,wall_load,p_fus,plasma_volume,beta,total_capital,magnet_capital,overnight_capital,cas72,fuel,beta_ok,net_positive,peak_field_ok,recirc_ok,tbr_ok,wall_load_ok,feasible
20260829-p-pump-fence:c0452,arm-package-default,12.5,1.35,False,0.85,0.07,313.3519399811669,307.2116817199766,3.26029193295718,2916.841575081762,451.1033675355841,0.026834157382368398,16339900463.756248,6327619204.829196,16339900463.756248,104902887.77783401,570181.3317355281,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0453,arm-package-default,12.5,1.4,False,0.85,0.07,294.88317988888974,289.1298620909535,3.389391741550728,3136.905068400687,485.1372292838105,0.026834157382368398,16857887900.34262,6431350667.2034445,16857887900.34262,115479370.8420875,613199.1276826528,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0454,arm-package-default,12.5,1.45,False,0.85,0.07,278.89814464465377,273.47985864066436,3.5185300213678783,3364.970870567575,520.4086860046999,0.026834157382368398,17386760625.22199,6535082129.577695,17386760625.22199,126625621.23143868,657781.2071187642,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0455,arm-package-default,12.5,1.5,False,0.85,0.07,266.4152773836855,261.2897106313325,3.647703165731413,3601.038981582422,556.9177376982519,0.026834157382368398,17926539128.05333,6638813591.951944,17926539128.05333,150134246.22471756,703927.5700438617,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0456,arm-package-default,12.5,1.55,False,0.85,0.07,254.1933865459534,249.3256084521314,3.776908005137119,3845.1094014452315,594.6643843644669,0.026834157382368398,18477243062.416412,6742545054.326192,18477243062.416412,164003861.7105769,751638.2164579459,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0457,arm-package-default,12.5,1.6,False,0.85,0.07,243.36774291174052,238.72859310530066,3.906141742963626,4097.182130156001,633.6486260033445,0.026834157382368398,19038891436.62905,6846276516.700441,19038891436.62905,178576879.16871762,800913.1463610161,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0458,arm-package-default,12.5,1.65,False,0.85,0.07,233.71944318202463,229.28433583911428,4.035401902203437,4357.25716771473,673.8704626148848,0.026834157382368398,19611502747.64402,6950007979.07469,19611502747.64402,193859950.7660335,851752.3597530724,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0459,arm-package-default,12.5,1.7,False,0.85,0.07,225.0726745292654,220.82069631710183,4.164686281072112,4625.334514121422,715.329894199088,0.026834157382368398,20195095076.241047,7053739441.448939,20195095076.241047,209859455.2311094,904155.8566341155,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0460,arm-package-default,12.5,1.75,False,0.85,0.07,218.57122319581694,214.4844424544061,4.2939929158159575,4901.414169376075,758.026920755954,0.026834157382368398,20789686155.514305,7157470903.823189,20789686155.514305,241518750.42455372,958123.6370041453,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0461,arm-package-default,12.5,1.8,False,0.85,0.07,211.58204865082965,207.64497918138926,4.423320049392198,5185.4961334786885,801.9615422854829,0.026834157382368398,21395293420.70189,7261202366.197436,21395293420.70189,260699417.6136716,1013655.7008631609,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0462,arm-package-default,12.5,1.85,False,0.85,0.07,205.23707772159582,201.43625749646105,4.552666104967571,5477.580406429262,847.1337587876744,0.026834157382368398,22011934045.835476,7364933828.571687,22011934045.835476,280731462.54281396,1070752.048211163,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0463,arm-package-default,12.5,1.9,False,0.85,0.07,199.4552722906023,195.7789287890435,4.682029663392143,5777.666988227797,893.5435702625286,0.026834157382368398,22639624970.99159,7468665290.945934,22639624970.99159,301622611.52561665,1129412.6790481517,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0464,arm-package-default,12.5,1.95,False,0.85,0.07,194.16845797259393,190.6062396489553,4.81140944396963,6085.755878874293,941.1909767100457,0.026834157382368398,23278382922.78525,7572396753.320183,23278382922.78525,323380310.1893753,1189637.5933741261,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0465,arm-package-default,12.5,2.0,False,0.85,0.07,189.31888175727005,185.86164058518534,4.940804287974824,6401.84707836875,990.0759781302256,0.026834157382368398,23928224429.96996,7676128215.694435,23928224429.96996,346011744.05865574,1251426.7911890873,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0466,arm-package-default,12.5,2.05,False,0.85,0.07,186.0814388762211,182.72105276209737,5.07021314447091,6725.940586711169,1040.1985745230684,0.026834157382368398,24589165835.472004,7779859678.068683,24589165835.472004,389967073.75977254,1314780.2724930348,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0467,arm-package-default,12.5,2.1,False,0.85,0.07,182.01563259515336,178.74485921886503,5.199635058060778,7058.0364039015485,1091.5587658885738,0.026834157382368398,25261223305.81272,7883591140.44293,25261223305.81272,416382084.27114534,1379698.0372859691,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0468,arm-package-default,12.5,2.15,False,0.85,0.07,178.2589423109665,175.07129796384848,5.329069158271511,7398.134529939886,1144.156552226742,0.026834157382368398,25944412838.608715,7987322602.817181,25944412838.608715,443808792.215871,1446180.0855678893,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0469,arm-package-default,12.5,2.2,False,0.85,0.07,174.77977244093222,171.6694309135439,5.458514650323491,7746.23496482619,1197.9919335375732,0.026834157382368398,26638750268.651924,8091054065.19143,26638750268.651924,472255536.4157869,1514226.417338796,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0470,arm-package-default,13.0,0.8,False,0.85,0.07,1426.7627660472385,1397.107050943979,1.8445669341772681,1065.2673538405602,164.74864276086956,0.026834157382368398,11795263585.464128,5394036043.460953,11795263585.464128,21294071.439602114,208237.41805386418,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0471,arm-package-default,13.0,0.85,False,0.85,0.07,1044.5457085917187,1022.9514314144953,1.9727461331394214,1202.5869736715695,185.98577249176284,0.026834157382368398,12213720591.809483,5501916764.330173,12213720591.809483,24952478.609248586,235080.52272486995,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0472,arm-package-default,13.0,0.9,False,0.85,0.07,826.3794977265323,809.3780471713615,2.1010770234612943,1348.228994704459,208.51000099422552,0.026834157382368398,12642841490.96836,5609797485.199391,12642841490.96836,28913064.223928228,263550.4822244218,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0473,arm-package-default,13.0,0.95,False,0.85,0.07,688.3006450058006,674.2608010526561,2.2295379349486386,1502.1934169392268,232.3213282682574,0.026834157382368398,13082883410.284182,5717678206.068611,13082883410.284182,39190700.7619623,293647.29655251926,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0474,arm-package-default,13.0,1.0,False,0.85,0.07,589.8879821104418,577.9133252482998,2.3581111374425294,1664.4802403758747,257.4197543138586,0.026834157382368398,13533991169.668623,5825558926.93783,13533991169.668623,44996071.72867078,325370.96570916264,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0475,arm-package-default,13.0,1.05,False,0.85,0.07,517.3820352092242,506.92749256727996,2.4867819842899364,1835.0894650144019,283.8052791310291,0.026834157382368398,13996256776.252098,5933439647.807049,13996256776.252098,51243179.59364845,358721.4896943518,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0476,arm-package-default,13.0,1.1,False,0.85,0.07,461.81047280445654,452.52010297573634,2.615538269946673,2014.0210908548092,311.477902719769,0.026834157382368398,14469744339.489788,6041320368.67627,14469744339.489788,57936160.72276974,393698.868508087,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0477,arm-package-default,13.0,1.15,False,0.85,0.07,417.9111396622162,409.53982909898826,2.744369741755616,2201.275117897095,340.437625080078,0.026834157382368398,14954502025.196957,6149201089.545486,14954502025.196957,65078922.14072556,430303.10215036775,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0478,arm-package-default,13.0,1.2,False,0.85,0.07,384.17632946010133,376.5481984340885,2.8732677243915123,2396.8515461412594,370.6844462119564,0.026834157382368398,15450568347.373257,6257081810.414707,15450568347.373257,80913604.74646214,468534.19062119426,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0479,arm-package-default,13.0,1.25,False,0.85,0.07,354.9495171344719,347.93415534019897,3.0022248277624795,2600.7503755873045,402.2183661154041,0.026834157382368398,15957975709.720024,6364962531.283925,15957975709.720024,90344666.03103296,508392.1339205667,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0480,arm-package-default,13.0,1.3,False,0.85,0.07,330.46402203573217,323.96210777656273,3.1312347175040447,2812.971606235229,435.03938479042114,0.026834157382368398,16476752502.987532,6472843252.153145,16476752502.987532,100364582.45556013,549876.9320484849,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0481,arm-package-default,13.0,1.35,False,0.85,0.07,309.6730294516359,303.6072124534719,3.26029193295718,3033.5152380850323,469.1475022370074,0.026834157382368398,17006924397.390152,6580723973.022363,17006924397.390152,110979370.82537815,592988.585004949,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0482,arm-package-default,13.0,1.4,False,0.85,0.07,291.8154551482559,286.1243494278629,3.389391741550729,3262.3812711367145,504.54271845516286,0.026834157382368398,17548515164.774204,6688604693.8915825,17548515164.774204,122194745.81081243,637727.0927899588,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0483,arm-package-default,13.0,1.45,False,0.85,0.07,276.3247937962321,270.9588892758562,3.5185300213678783,3499.5697053902772,541.2250334448878,0.026834157382368398,18101547215.439907,6796485414.760802,18101547215.439907,134016156.18993111,684092.4554035146,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0484,arm-package-default,13.0,1.5,False,0.85,0.07,264.2590819836859,259.17788391847927,3.6477031657314125,3745.080540845718,579.1944472061818,0.026834157382368398,18666041956.335026,6904366135.630021,18666041956.335026,158926919.34379122,732084.672845616,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0485,arm-package-default,13.0,1.55,False,0.85,0.07,252.3761408893076,247.5461199619948,3.776908005137118,3998.9137775030395,618.4509597390454,0.026834157382368398,19242020034.486805,7012246856.499239,19242020034.486805,173639714.60859197,781703.7451162633,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0486,arm-package-default,13.0,1.6,False,0.85,0.07,241.83552776931103,237.22862015471222,3.9061417429636265,4261.069415362241,658.9945710434782,0.026834157382368398,19829501505.07465,7120127577.36846,19829501505.07465,189100682.1333748,832949.6722154567,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0487,arm-package-default,13.0,1.65,False,0.85,0.07,232.4293560634379,228.02184557171765,4.035401902203437,4531.547454423318,700.82528111948,0.026834157382368398,20428505949.090878,7228008298.237677,20428505949.090878,205316948.634529,885822.4541431951,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0488,arm-package-default,13.0,1.7,False,0.85,0.07,223.99016245146285,219.76183373839174,4.164686281072112,4810.347894686278,743.9430899670514,0.026834157382368398,21039052556.73978,7335889019.106898,21039052556.73978,222295346.7861336,940322.0908994798,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0489,arm-package-default,13.0,1.75,False,0.85,0.07,217.6832607850899,213.6167484937683,4.2939929158159575,5097.470736151117,788.347997586192,0.026834157382368398,21661160187.23185,7443769739.976116,21661160187.23185,255867071.23752943,996448.5824843108,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0490,arm-package-default,13.0,1.8,False,0.85,0.07,210.85183591072797,206.93211782181075,4.423320049392198,5392.915978817836,834.0400039769021,0.026834157382368398,22294847412.125088,7551650460.845335,22294847412.125088,276224484.252579,1054201.9288976872,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0491,arm-package-default,13.0,1.85,False,0.85,0.07,204.64540664398902,200.85940427634893,4.552666104967571,5696.6836226864325,881.0191091391813,0.026834157382368398,22940132547.082268,7659531181.714553,22940132547.082268,297487589.3875814,1113582.1301396093,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0492,arm-package-default,13.0,1.9,False,0.85,0.07,198.98606774735558,195.32232823182093,4.682029663392141,6008.773667756907,929.2853130730296,0.026834157382368398,23597033675.402325,7767411902.583773,23597033675.402325,319664652.5835244,1174589.186210077,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0493,arm-package-default,13.0,1.95,False,0.85,0.07,193.80816316221987,190.25660335535966,4.81140944396963,6329.186114029263,978.8386157784473,0.026834157382368398,24265568665.66753,7875292623.452991,24265568665.66753,342763638.7060416,1237223.097109091,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0494,arm-package-default,13.0,2.0,False,0.85,0.07,189.05598237891292,185.60768118419807,4.9408042879748235,6657.920961503499,1029.6790172554345,0.026834157382368398,24945755185.155758,7983173344.32221,24945755185.155758,366792233.5894911,1301483.8628366506,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0495,arm-package-default,13.0,2.05,False,0.85,0.07,185.92392703806587,182.5709554556468,5.07021314447091,6994.9782101796145,1081.806517503991,0.026834157382368398,25637610710.18901,8091054065.19143,25637610710.18901,413431135.4304114,1367371.4833927562,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0496,arm-package-default,13.0,2.1,False,0.85,0.07,181.93838550110675,178.67366648910567,5.199635058060776,7340.3578600576075,1135.2211165241165,0.026834157382368398,26341152534.256535,8198934786.060648,26341152534.256535,441480165.10464144,1434885.9587774072,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0497,arm-package-default,13.0,2.15,False,0.85,0.07,178.2546344579584,175.07182655866853,5.329069158271514,7694.059911137482,1189.9228143158116,0.026834157382368398,27056397774.515816,8306815506.929867,27056397774.515816,470605596.9708829,1504027.2889906047,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0498,arm-package-default,13.0,2.2,False,0.85,0.07,174.84203157584375,171.73543164245103,5.458514650323491,8056.084363419237,1245.911610879076,0.026834157382368398,27783363377.10822,8414696227.799089,27783363377.10822,500816343.54912907,1574795.474032348,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0499,arm-package-default,13.5,0.8,False,0.85,0.07,1315.9597258669012,1288.6263901028908,1.8445669341772681,1106.2391751421203,171.08512902090303,0.026834157382368398,12240525235.345474,5601498968.209451,12240525235.345474,22402887.556927525,216246.5495174744,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0500,arm-package-default,13.5,0.85,False,0.85,0.07,986.1095799310342,965.7339441209797,1.9727461331394214,1248.8403188127838,193.13907143375374,0.026834157382368398,12676500158.380196,5713528947.57364,12676500158.380196,26265076.13028213,244122.08129121125,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0501,arm-package-default,13.5,0.9,False,0.85,0.07,790.7493483319731,774.487354829075,2.101077023461294,1400.0839560392458,216.52961641708035,0.026834157382368398,13123766364.725836,5825558926.93783,13123766364.725836,30447851.651784122,273687.03923305345,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0502,arm-package-default,13.5,0.95,False,0.85,0.07,664.4879243893224,650.9387919351036,2.229537934948639,1559.9700868215052,241.25676397088273,0.026834157382368398,13582544984.232618,5937588906.302018,13582544984.232618,41288037.06873095,304941.42334300093,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
20260829-p-pump-fence:c0503,arm-package-default,13.5,1.0,False,0.85,0.07,573.0254463466533,561.3967784772501,2.358111137442529,1728.4987111595622,267.3205140951609,0.026834157382368398,14052964904.035816,6049618885.666209,14052964904.035816,47421820.86296541,337885.2336210535,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0504,arm-package-default,13.5,1.05,False,0.85,0.07,504.91398957179484,494.71427284445696,2.486781984289937,1905.6698290534177,294.7208667899149,0.026834157382368398,14535110277.000195,6161648865.030397,14535110277.000195,54024160.44400857,372518.47006721154,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0505,arm-package-default,13.5,1.1,False,0.85,0.07,452.2894835093815,443.1930443006162,2.6155382699466725,2091.483440503071,323.4578220551448,0.026834157382368398,15029041179.617188,6273678844.3945875,15029041179.617188,61099507.91759176,408841.13268147496,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0506,arm-package-default,13.5,1.15,False,0.85,0.07,410.45833433505715,402.23839688477364,2.7443697417556154,2285.939545508521,353.53137989085025,0.026834157382368398,15534803762.157398,6385708823.758776,15534803762.157398,68652065.62682311,446853.22146384337,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0507,arm-package-default,13.5,1.2,False,0.85,0.07,378.2276189437663,370.7200309032098,2.8732677243915132,2489.03814406977,384.94154029703174,0.026834157382368398,16052435676.234447,6497738803.122966,16052435676.234447,85378897.69099152,486554.7364143173,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0508,arm-package-default,13.5,1.25,False,0.85,0.07,350.13231979377707,343.2145026113493,3.0022248277624795,2700.7792361868164,417.688303273689,0.026834157382368398,16581969162.69633,6609768782.487153,16581969162.69633,95353974.02502531,527945.6775328962,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
