case_id,arm_id,p_wallplug_heat_MW,R,a,I_coil_A,n_e0,T_i0_keV,eta_source_heat,tau_ratio_ash,is_baseline_point,beta_ok_record,beta_ok_forced,cond_strain_ok_record,cond_strain_ok_forced,net_positive_record,net_positive_forced,peak_field_ok_record,peak_field_ok_forced,recirc_ok_record,recirc_ok_forced,sustainment_ok_record,sustainment_ok_forced,wall_load_ok_record,wall_load_ok_forced,wp_stress_ok_record,wp_stress_ok_forced,p_aux_required_forced,W_th_forced,tau_E_forced,lcoe_forced,wall_load_peak_forced,beta_forced,p_fus_forced,p_aux_required_record,lcoe_record,feasible_record,feasible_forced,ignited_record,ignited_forced,feasible_driven_record,feasible_driven_forced,error
20260904-wall-and-heating:c0022,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.048e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,36.17284100428475,355.8679125929395,1.8344637842156672,562.2075387076302,2.6045543842107413,0.02019642368334404,1531.2865670950287,73.33937869608553,516.2841134813045,False,False,False,False,False,False,
20260904-wall-and-heating:c0023,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.554e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,32.4402393749761,398.7070346189945,1.8076888677637295,422.3635093964929,3.168411204360976,0.022627654564365725,1862.7929390468728,72.4700927813829,392.51372146687225,False,False,False,False,False,False,
20260904-wall-and-heating:c0024,arm-fence-p100,100.0,11.2,1.3,14000000.0,5.06e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,28.562745751290095,441.32266390395205,1.7844304977550325,342.4323252976769,3.768667139855849,0.025046201654774017,2215.699315820761,70.99418958278358,320.6259920799134,False,False,False,False,False,False,
20260904-wall-and-heating:c0025,arm-fence-p100,100.0,11.2,1.3,14000000.0,3.036e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,40.827440072892415,294.4140177856201,1.6568765533401095,1027.8287276834535,1.9368066349210191,0.016708756342175318,1138.6999638380794,78.78624298305897,914.8363105356381,False,False,False,False,False,False,
20260904-wall-and-heating:c0026,arm-fence-p100,100.0,11.2,1.3,14000000.0,3.542e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,33.4500680799307,341.7887737751584,1.6241754444038259,595.4471492727173,2.5173352100738255,0.01939739617173532,1480.0081025105953,76.30871846181782,547.3599820387352,False,False,False,False,False,False,
20260904-wall-and-heating:c0027,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.048e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,24.15696474789064,388.85730109278495,1.5969413347961892,425.67129054618243,3.15004827815262,0.022068656732799743,1851.9968879427477,71.33976689492454,396.64277534934484,False,False,False,False,False,False,
20260904-wall-and-heating:c0028,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.554e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,violated,satisfied,satisfied,satisfied,13.436146623294292,435.6532612544258,1.573714537569682,336.18393277404516,3.830266294459196,0.02472444840338639,2251.9150917555376,64.37464050323075,315.74482595338833,False,False,False,False,False,False,
20260904-wall-and-heating:c0029,arm-fence-p100,100.0,11.2,1.3,14000000.0,5.06e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,1.7020193689928078,482.2042980433993,1.5535349633101871,281.59249547721333,4.554052664556237,0.027366340039636422,2677.448285723352,55.84054003351332,265.93159656060544,False,False,False,False,False,False,
20260904-wall-and-heating:c0030,arm-fence-p100,100.0,11.2,1.3,14000000.0,3.036e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,42.70777615275534,312.7391969781558,1.5075557735851837,771.2345923803773,2.1951338738715243,0.017748757617786232,1290.5773956619983,87.33777918924767,702.0106019244312,False,False,False,False,False,False,
20260904-wall-and-heating:c0031,arm-fence-p100,100.0,11.2,1.3,14000000.0,3.542e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,31.98212735759762,363.0574447236112,1.4778351734189623,489.69674579461406,2.85258642781532,0.02060444821114728,1677.111180657826,82.46173662893409,455.13095935159424,False,False,False,False,False,False,
