case_id,arm_id,p_wallplug_heat_MW,R,a,I_coil_A,n_e0,T_i0_keV,eta_source_heat,tau_ratio_ash,is_baseline_point,beta_ok_record,beta_ok_forced,cond_strain_ok_record,cond_strain_ok_forced,net_positive_record,net_positive_forced,peak_field_ok_record,peak_field_ok_forced,recirc_ok_record,recirc_ok_forced,sustainment_ok_record,sustainment_ok_forced,wall_load_ok_record,wall_load_ok_forced,wp_stress_ok_record,wp_stress_ok_forced,p_aux_required_forced,W_th_forced,tau_E_forced,lcoe_forced,wall_load_peak_forced,beta_forced,p_fus_forced,p_aux_required_record,lcoe_record,feasible_record,feasible_forced,ignited_record,ignited_forced,feasible_driven_record,feasible_driven_forced,error
20260904-wall-and-heating:c0022,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.048e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,46.005658388647646,366.1260029918015,1.754710155866529,547.2726605577153,2.647752297940711,0.020231369644193958,1556.683765718423,73.33937869608553,516.2841134813045,False,False,False,False,False,False,
20260904-wall-and-heating:c0023,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.554e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,42.947484329631095,410.2279397950952,1.7289150009567453,412.736115000522,3.2239103100545075,0.02266835193499371,1895.422334520235,72.4700927813829,392.51372146687225,False,False,False,False,False,False,
20260904-wall-and-heating:c0024,arm-fence-p100,100.0,11.2,1.3,14000000.0,5.06e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,39.606813741820645,454.1014207110059,1.7065147129113192,335.4346195998696,3.8378527709978285,0.025092710223490244,2256.3753824239197,70.99418958278358,320.6259920799134,False,False,False,False,False,False,
20260904-wall-and-heating:c0025,arm-fence-p100,100.0,11.2,1.3,14000000.0,3.036e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,51.02523297848239,302.8520671634953,1.5852413580147582,990.2235258854421,1.9650202991122538,0.01673498213244944,1155.2875249373878,78.78624298305897,914.8363105356381,False,False,False,False,False,False,
20260904-wall-and-heating:c0026,arm-fence-p100,100.0,11.2,1.3,14000000.0,3.542e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,44.887918960124296,351.61813373627945,1.5537223369247062,579.7988404083596,2.5569599294675,0.019429694638158745,1503.304525461207,76.30871846181782,547.3599820387352,False,False,False,False,False,False,
20260904-wall-and-heating:c0027,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.048e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,36.66110252373602,400.07221970537927,1.527478856966072,416.31484834075974,3.2029133654591306,0.022107167737588834,1883.077674180696,71.33976689492454,396.64277534934484,False,False,False,False,False,False,
20260904-wall-and-heating:c0028,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.554e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,violated,satisfied,satisfied,satisfied,26.83623737276372,448.2480673001155,1.5051034308101634,329.6317563375233,3.898122283046016,0.02476926595690948,2291.8094262527757,64.37464050323075,315.74482595338833,False,False,False,False,False,False,
20260904-wall-and-heating:c0029,arm-fence-p100,100.0,11.2,1.3,14000000.0,5.06e+20,16.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,15.832530312481481,496.17346084811777,1.4856698896586633,276.5901353556312,4.638571576263159,0.027417524600900994,2727.1391944434317,55.84054003351332,265.93159656060544,False,False,False,False,False,False,
20260904-wall-and-heating:c0030,arm-fence-p100,100.0,11.2,1.3,14000000.0,3.036e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,54.70924956607834,321.7040190468809,1.4423655058579687,748.5253215932213,2.2272384460235277,0.017776702206824698,1309.4525246962473,87.33777918924767,702.0106019244312,False,False,False,False,False,False,
20260904-wall-and-heating:c0031,arm-fence-p100,100.0,11.2,1.3,14000000.0,3.542e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,45.470586581567545,373.50022421804704,1.4137195445179482,478.52273323905956,2.89765927170809,0.020638853937161743,1703.6107004268033,82.46173662893409,455.13095935159424,False,False,False,False,False,False,
