R,a,lcoe,wall_load,p_fus,plasma_volume,total_capital,magnet_capital,overnight_capital,lcoe_1cfe,beta_ok,net_positive,recirc_ok,tbr_ok,wall_load_ok,feasible
5.0,2.05,181.92127168812442,5.070213144470909,2690.3762346844674,416.0794298092273,9755964326.441992,3111943871.227473,9755964326.441992,178.57444645286827,satisfied,satisfied,satisfied,satisfied,violated,False
5.0,2.1,177.1979058238548,5.199635058060777,2823.214561560619,436.6235063554295,9996474981.14818,3153436456.1771727,9996474981.14818,173.9495260489859,satisfied,satisfied,satisfied,satisfied,violated,False
5.0,2.15,172.82273756873715,5.329069158271511,2959.2538119759542,457.66262089069676,10240587909.953545,3194929041.126872,10240587909.953545,169.6656358466793,satisfied,satisfied,satisfied,satisfied,violated,False
5.0,2.2,168.76023005237136,5.458514650323489,3098.4939859304754,479.19677341502927,10488305988.506126,3236421626.0765724,10488305988.506126,165.68797168202244,satisfied,satisfied,satisfied,satisfied,violated,False
5.5,0.8,1454.1066260042744,1.844566934177268,450.6900343171601,69.7013488603679,5326807552.94292,2282092172.23348,5326807552.94292,1424.0442452032469,satisfied,satisfied,violated,satisfied,satisfied,False
5.5,0.85,1077.319609416503,1.9727461331394216,508.7867965533564,78.68628836189967,5494646103.780876,2327734015.67815,5494646103.780876,1055.1824749188875,satisfied,satisfied,violated,satisfied,satisfied,False
5.5,0.9,856.8646450060312,2.1010770234612943,570.4045746826557,88.21576965140311,5666109753.903556,2373375859.12282,5666109753.903556,839.3513119349824,satisfied,satisfied,violated,satisfied,satisfied,False
5.5,0.95,714.3515531713983,2.229537934948639,635.5433687050576,98.28979272887814,5841329242.773238,2419017702.567489,5841329242.773238,699.8625862106378,satisfied,satisfied,violated,satisfied,satisfied,False
5.5,1.0,612.3319518422473,2.3581111374425294,704.2031786205625,108.90835759432481,6020377414.589405,2464659546.0121593,6020377414.589405,599.9719887008612,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.5,1.05,536.5846037616838,2.4867819842899372,776.3840044291702,120.07146424774311,6203299059.849775,2510301389.4568286,6203299059.849775,525.8022779191509,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.5,1.1,478.17866240795956,2.6155382699466725,852.0858461308807,131.77911268913303,6390123785.548057,2555943232.901499,6390123785.548057,468.61059212994684,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.5,1.15,431.8156110474828,2.7443697417556163,931.3087037256939,144.03130291849456,6580872334.692733,2601585076.3461676,6580872334.692733,423.20980505712714,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.5,1.2,395.4253929597689,2.8732677243915132,1014.05257721361,156.82803493582773,6775559981.519871,2647226919.7908373,6775559981.519871,387.6000453947439,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.5,1.25,364.2958408440856,3.0022248277624795,1100.317466594629,170.16930874113254,6974198480.5790825,2692868763.2355075,6974198480.5790825,357.1155556136506,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.5,1.3,338.1315164705731,3.1312347175040447,1190.1033718687509,184.05512433440896,7176797244.02936,2738510606.6801763,7176797244.02936,331.49280534760715,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.5,1.35,315.84980665817034,3.26029193295718,1283.4102930359754,198.48548171565702,7383364081.966321,2784152450.1248465,7383364081.966321,309.6718354816476,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.5,1.4,296.660297035831,3.3893917415507286,1380.2382300963022,213.4603808848766,7593905683.404322,2829794293.5695157,7593905683.404322,290.87875545942444,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.5,1.45,279.97252210032804,3.5185300213678783,1480.5871830497329,228.97982184206793,7808427937.293349,2875436137.0141854,7808427937.293349,274.53543223026855,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.5,1.5,266.37639686955157,3.6477031657314134,1584.4571518962657,245.04380458723082,8026936151.658964,2921077980.458855,8026936151.658964,261.241169084715,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.5,1.55,253.48680547253736,3.776908005137119,1691.848136635902,261.65232912036544,8249435206.08322,2966719823.9035244,8249435206.08322,248.6181214069257,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.5,1.6,242.02526307263602,3.906141742963626,1802.7601372686404,278.8053954414716,8475929659.551683,3012361667.3481946,8475929659.551683,237.3935219572715,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.5,1.65,231.7728255820577,4.0354019022034375,1917.1931537944815,296.5030035505493,8706423827.81335,3058003510.7928643,8706423827.81335,227.35298331448973,satisfied,satisfied,satisfied,satisfied,satisfied,True
5.5,1.7,222.55277007030676,4.164686281072112,2035.1471862134256,314.7451534475987,8940921839.552534,3103645354.2375336,8940921839.552534,218.32345775427225,satisfied,satisfied,satisfied,satisfied,violated,False
5.5,1.75,215.11622181207588,4.293992915815959,2156.6222345254732,333.53184513261976,9179427677.610655,3149287197.6822033,9179427677.610655,211.05906685017186,satisfied,satisfied,satisfied,satisfied,violated,False
5.5,1.8,207.59153022515852,4.423320049392198,2281.618298730623,352.86307860561243,9421945209.517609,3194929041.126872,9421945209.517609,203.6906266482386,satisfied,satisfied,satisfied,satisfied,violated,False
5.5,1.85,200.73716506533736,4.552666104967569,2410.1353788288748,372.7388538665767,9668478210.288336,3240570884.5715423,9668478210.288336,196.9786554566127,satisfied,satisfied,satisfied,satisfied,violated,False
5.5,1.9,194.47041086634823,4.682029663392142,2542.1734748202302,393.15917091551256,9919030379.564169,3286212728.016211,9919030379.564169,190.84215285989075,satisfied,satisfied,satisfied,satisfied,violated,False
5.5,1.95,188.72146593543567,4.811409443969629,2677.732586704689,414.1240297524201,10173605354.581362,3331854571.460881,10173605354.581362,185.2127635990043,satisfied,satisfied,satisfied,satisfied,violated,False
5.5,2.0,183.43102887750305,4.9408042879748235,2816.81271448225,435.63343037729925,10432206720.035206,3377496414.905551,10432206720.035206,180.03241443285566,satisfied,satisfied,satisfied,satisfied,violated,False
5.5,2.05,179.38927747004078,5.070213144470908,2959.4138581529137,457.68737279015,10694838015.617844,3423138258.3502207,10694838015.617844,176.09233246767892,satisfied,satisfied,satisfied,satisfied,violated,False
5.5,2.1,174.90348659083574,5.199635058060778,3105.536017716681,480.28585699097243,10961502741.801992,3468780101.79489,10961502741.801992,171.70069430249418,satisfied,satisfied,satisfied,satisfied,violated,False
5.5,2.15,170.74400057612672,5.329069158271512,3255.17919317355,503.4288829797664,11232204364.294453,3514421945.239559,11232204364.294453,167.6286233043786,satisfied,satisfied,satisfied,satisfied,violated,False
