case_id,arm_id,I_coil_A,n_e0,j_wp,p_input_MW,T_i0_keV,is_baseline_point,R,a,availability,discount_rate,lcoe,lcoe_1cfe,p_fus,wall_load,beta,B_axis,B_peak,sigma_wp,eps_cond,wp_side,c_coil,vol_cold,p_cryo,total_capital,magnet_capital,heating_capital,overnight_capital,cas72,fuel,beta_ok,cond_strain_ok,net_positive,peak_field_ok,recirc_ok,sustainment_ok,tbr_ok,wall_load_ok,wp_stress_ok,feasible
20260903-priced-levers:c0010,arm-fence-p50,15000000.0,6.072e+20,90.0,50.0,18.0,False,12.7,1.3,0.85,0.07,169.8272852682844,166.8834535582162,5805.689442237195,6.615211094665475,0.04155453054330176,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,18228585525.421803,5262159272.727273,264145000.0,18228585525.421803,364008787.48382944,1134890.480887673,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False
20260903-priced-levers:c0014,arm-fence-p50,15000000.0,6.072e+20,90.0,50.0,19.0,False,12.7,1.3,0.85,0.07,160.51873239491638,157.7991902181675,6456.149758403356,7.356368943867254,0.04387135118764122,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,19002130602.053883,5262159272.727273,264145000.0,19002130602.053883,435078962.3896402,1262041.8258496765,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0003,arm-fence-p50,15000000.0,7.084e+20,90.0,50.0,14.63,False,12.7,1.3,0.85,0.07,188.18302089361032,184.79781261035254,4870.234559081148,5.549320198643267,0.03923086838278477,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,17090651219.581875,5262159272.727273,264145000.0,17090651219.581875,263326232.24823815,952028.6773488689,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0007,arm-fence-p50,15000000.0,7.084e+20,90.0,50.0,17.0,False,12.7,1.3,0.85,0.07,157.71111970761797,155.05354510005108,6665.099656921555,7.594453963856573,0.045530503026166395,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,19247947738.59225,5262159272.727273,264145000.0,19247947738.59225,454123172.0525337,1302887.1471797426,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False
20260903-priced-levers:c0011,arm-fence-p50,15000000.0,7.084e+20,90.0,50.0,18.0,False,12.7,1.3,0.85,0.07,150.20111097435066,147.7489908787335,7476.228400398643,8.518683190451927,0.048207617101601485,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,20191248696.422306,5262159272.727273,264145000.0,20191248696.422306,562208364.3243735,1461445.7988102366,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False
20260903-priced-levers:c0015,arm-fence-p50,15000000.0,7.084e+20,90.0,50.0,19.0,False,12.7,1.3,0.85,0.07,143.6107643189394,141.3265614538909,8314.89574422713,9.47429088749229,0.050895806601968734,8.766233766233764,24.253246753246746,543791680.5428163,0.001812638935142721,0.40824829046386296,25.0,175.61728395061724,0.9614089506172837,21150325050.87498,5262159272.727273,264145000.0,21150325050.87498,665242526.9643248,1625387.6690415055,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False
20260903-priced-levers:c0016,arm-fence-p50,15000000.0,5.06e+20,118.8271604938272,50.0,14.63,False,12.7,1.3,0.85,0.07,295.99429010285417,290.2386721040193,2786.253121308193,3.17475689046187,0.028356109189914915,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,14397716971.307423,5262159272.727273,264145000.0,14397716971.307423,99033025.80525981,544654.0288069109,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
20260903-priced-levers:c0020,arm-fence-p50,15000000.0,5.06e+20,118.8271604938272,50.0,17.0,False,12.7,1.3,0.85,0.07,224.59754543610777,220.40985175175962,3819.558567959709,4.352142233387366,0.03291350135682031,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,15765084824.737123,5262159272.727273,264145000.0,15765084824.737123,178467503.17752606,746643.5645755173,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0024,arm-fence-p50,15000000.0,5.06e+20,118.8271604938272,50.0,18.0,False,12.7,1.3,0.85,0.07,205.23168469490676,201.4565424517718,4284.532419769373,4.881950142305647,0.03484883985323279,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,16357720130.879728,5262159272.727273,264145000.0,16357720130.879728,209392674.79737902,837536.1973163274,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0028,arm-fence-p50,15000000.0,5.06e+20,118.8271604938272,50.0,19.0,False,12.7,1.3,0.85,0.07,191.07856067895065,187.6312575869957,4763.86749077273,5.428121740237654,0.03679139342188612,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,16957105331.341293,5262159272.727273,264145000.0,16957105331.341293,255545084.89314675,931236.1471069074,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0017,arm-fence-p50,15000000.0,5.5660000000000007e+20,118.8271604938272,50.0,14.63,False,12.7,1.3,0.85,0.07,255.33064253252556,250.46459106496994,3269.5217830209103,3.725410562945286,0.031091204524620192,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,15047075392.56981,5262159272.727273,264145000.0,15047075392.56981,134663364.1143556,639122.9130532825,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
