case_id,arm_id,eta_source_heat,p_wallplug_heat_MW,I_coil_A,n_e0,T_i0_keV,is_baseline_point,R,a,j_wp,eta_couple_heat,availability,discount_rate,lcoe,lcoe_1cfe,p_fus,wall_load,beta,B_axis,B_peak,sigma_wp,eps_cond,heating_capital,total_capital,magnet_capital,overnight_capital,cas72,fuel,p_cryo,vol_cold,beta_ok,cond_strain_ok,net_positive,peak_field_ok,recirc_ok,sustainment_ok,tbr_ok,wall_load_ok,wp_stress_ok,feasible,wall_load_shadow_lo,wall_load_ok_shadow_lo,wall_load_shadow_hi,wall_load_ok_shadow_hi,feasible_shadow_lo
20260903-wall-and-heating:c0007,arm-fence-p100,0.4,100.0,14000000.0,6.072e+20,17.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,169.60567264739095,166.64503933921026,5498.028007605292,6.264650604644951,0.04533817051401559,8.18181818181818,22.63636363636363,563409711.8269409,0.0018780323727564695,211316000.0,17189205026.23683,4914977454.545455,17189205026.23683,324709616.866616,1074749.1252443986,0.8335014545454544,124.1454545454545,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,7.204348195341693,violated,11.464310606500261,violated,False
20260903-wall-and-heating:c0008,arm-fence-p100,0.4,100.0,14000000.0,4.554e+20,19.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,201.4649951778649,197.77309408560185,4202.070471449867,4.787990036303023,0.03836070069671585,8.18181818181818,22.63636363636363,563409711.8269409,0.0018780323727564695,211316000.0,15586244402.496857,4914977454.545455,15586244402.496857,203675564.59656954,821416.6164957597,0.8335014545454544,124.1454545454545,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,5.506188541748475,violated,8.76202176643453,violated,False
20260903-wall-and-heating:c0009,arm-fence-p100,0.4,100.0,14000000.0,5.06e+20,19.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,179.41778603829403,176.24493668225082,5034.703024389508,5.736721475830978,0.04248481641257115,8.18181818181818,22.63636363636363,563409711.8269409,0.0018780323727564695,211316000.0,16624308737.83106,4914977454.545455,16624308737.83106,287884126.94293904,984178.8117199447,0.8335014545454544,124.1454545454545,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,6.597229697205624,violated,10.49820030077069,violated,False
20260903-wall-and-heating:c0010,arm-fence-p100,0.4,100.0,14000000.0,5.5660000000000007e+20,19.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,163.17492851572297,160.3758656745152,5920.879291871653,6.74646254703408,0.04659077324491038,8.18181818181818,22.63636363636363,563409711.8269409,0.0018780323727564695,211316000.0,17697960098.81363,4914977454.545455,17697960098.81363,373542514.50915426,1157407.6797743319,0.8335014545454544,124.1454545454545,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,7.758431929089192,violated,12.346026461072368,violated,False
20260903-wall-and-heating:c0011,arm-fence-p100,0.4,100.0,14000000.0,6.072e+20,19.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,152.21260736868854,149.69441090302305,6857.310507012927,7.813465910790743,0.050679949234452404,8.18181818181818,22.63636363636363,563409711.8269409,0.0018780323727564695,211316000.0,18804663568.02721,4914977454.545455,18804663568.02721,486298738.93974316,1340460.3357325161,0.8335014545454544,124.1454545454545,violated,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,8.985485797409353,violated,14.29864261674706,violated,False
20260903-wall-and-heating:c0012,arm-fence-p100,0.4,100.0,14000000.0,4.554e+20,22.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,169.1657885309222,166.21465404975748,5521.032156710233,6.2908623584592736,0.04447347302701651,8.18181818181818,22.63636363636363,563409711.8269409,0.0018780323727564695,211316000.0,17217042480.231125,4914977454.545455,17217042480.231125,326535669.54546064,1079245.9537606097,0.8335014545454544,124.1454545454545,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,7.234491712228164,violated,11.512278115980472,violated,False
20260903-wall-and-heating:c0013,arm-fence-p100,0.4,100.0,14000000.0,5.06e+20,22.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,154.1979016582863,151.6164623588867,6619.2475710632825,7.5422084501925974,0.049257458209172655,8.18181818181818,22.63636363636363,563409711.8269409,0.0018780323727564695,211316000.0,18525708618.532505,4914977454.545455,18525708618.532505,449607615.58802724,1293924.0263846787,0.8335014545454544,124.1454545454545,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,8.673539717721486,violated,13.802241463852454,violated,False
20260903-wall-and-heating:c0014,arm-fence-p100,0.4,100.0,14000000.0,5.5660000000000007e+20,22.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,143.79616533506837,141.48594548083722,7788.9215042341375,8.874976945103889,0.05402058763336678,8.18181818181818,22.63636363636363,563409711.8269409,0.0018780323727564695,211316000.0,19882483155.908333,4914977454.545455,19882483155.908333,593686953.1065608,1522570.7402169157,0.8335014545454544,124.1454545454545,violated,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,10.20622348686947,violated,16.241207809540118,violated,False
20260903-wall-and-heating:c0015,arm-fence-p100,0.4,100.0,14000000.0,6.072e+20,22.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,136.3868061356125,134.2832663009207,9025.735088498635,10.284246770171672,0.05876442159233003,8.18181818181818,22.63636363636363,563409711.8269409,0.0018780323727564695,211316000.0,21284038746.29838,4914977454.545455,21284038746.29838,759545898.901944,1764341.8472283604,0.8335014545454544,124.1454545454545,violated,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,11.826883785697422,violated,18.82017158941416,violated,False
20260903-wall-and-heating:c0016,arm-fence-p100,0.4,100.0,15000000.0,4.554e+20,14.63,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,356.47177044364076,349.40591002883684,2330.994663646727,2.6560190506193893,0.025608521466914707,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,211316000.0,13668617825.612087,5262159272.727273,13668617825.612087,68464676.35879076,455660.5517902508,0.8555372727272725,133.01298701298697,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False,3.0544219082122974,satisfied,4.860514862633482,violated,False
