case_id,arm_id,eta_source_heat,p_wallplug_heat_MW,I_coil_A,n_e0,T_i0_keV,source,p_net_MW,rec_frac,q_eng,p_th_MW,p_aux_required_MW,p_coupled_installed_MW,sustainment_margin_MW,eta_source_crossing,p_delivered_MW,p_wallplug_total_MW,eta_pin_eff,tau_E_s,p_rad_MW,n_He0,n_D0,W_th_MJ,eps_cond,sigma_wp_Pa,B_peak_T,cryo_cost_USD,aux_cost_USD,magnet_capital_USD,wall_load,beta_limit,wall_load_limit,B_max_T,sigma_allow_Pa,recirc_threshold,eps_cond_allow
20260903-wall-and-heating:c0383,arm-search-p220,0.5,220.0,14500000.0,5.5660000000000007e+20,18.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1560.6861698104185,0.2451546152407337,4.079058430199379,6208.881115674606,108.55626022876845,110.0,1.4437397712315487,0.493437546494402,110.0,220.0,0.5,0.9038424795632916,266.026028028954,6.257307640676515e+19,2.1572692359323487e+20,747.0589415683936,0.0019795342667873563,593860280.0362068,23.444805194805195,16431296.996234357,6829769.2272420665,5088568363.636363,5.895221970896823,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0384,arm-search-p220,0.5,220.0,14750000.0,4.048e+20,14.63,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,345.0693424677744,0.5762640155783201,1.735315711144018,2445.495095464401,111.66309331811482,110.0,-1.663093318114818,0.5075595150823401,110.0,220.0,0.5,1.3522582928691047,148.83361934409245,3.817007212506074e+19,1.6422992787493926e+20,445.9458460749743,0.0020309491559418525,609284746.7825558,23.849025974025974,16506252.841384977,2690044.605010841,5175363818.181819,2.198406933877588,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0385,arm-search-p220,0.5,220.0,14750000.0,4.554e+20,14.63,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,507.0104948383694,0.48332747495156636,2.0689905950416096,2946.8453705970437,112.11140050001302,110.0,-2.111400500013019,0.5095972750000591,110.0,220.0,0.5,1.331501262597374,185.8428462412346,4.6003679645652935e+19,1.8169632035434706e+20,499.8731890958562,0.0020309491559418525,609284746.7825558,23.849025974025974,16506252.841384977,3241529.9076567483,5175363818.181819,2.69088876432786,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0386,arm-search-p220,0.5,220.0,14750000.0,5.06e+20,14.63,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,680.5566047898571,0.41342099182137304,2.4188418580159334,3484.123194662824,111.27651297035607,110.0,-1.276512970356066,0.5058023316834367,110.0,220.0,0.5,1.3134985786041848,227.10109141990722,5.428255823317685e+19,1.9871744176682317e+20,553.5364987222907,0.0020309491559418525,609284746.7825558,23.849025974025974,16506252.841384977,3832535.5141291064,5175363818.181819,3.2186626170224635,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0387,arm-search-p220,0.5,220.0,14750000.0,5.5660000000000007e+20,14.63,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,864.9196005985559,0.3594507048735875,2.782022642998245,4054.888792658858,109.51812411394326,110.0,0.48187588605674136,0.49780965506337843,110.0,220.0,0.5,1.297654867612016,272.6143330776441,6.296938800601252e+19,2.153306119939875e+20,606.9579046091246,0.0020309491559418525,609284746.7825558,23.849025974025974,16506252.841384977,4460377.671924744,5175363818.181819,3.7793318744288986,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0388,arm-search-p220,0.5,220.0,14750000.0,4.048e+20,16.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,497.61037367425797,0.48784897334296473,2.0498147062758822,2917.743729272901,117.3663996063554,110.0,-7.366399606355401,0.5334836345743428,110.0,220.0,0.5,1.1769769632960745,147.6888622118193,3.87387255140279e+19,1.636612744859721e+20,487.3368698676083,0.0020309491559418525,609284746.7825558,23.849025974025974,16506252.841384977,3209518.102200191,5175363818.181819,2.662301905400478,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0389,arm-search-p220,0.5,220.0,14750000.0,4.554e+20,16.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,693.2636983862106,0.4091400783102171,2.4441506784915425,3523.4628237651846,111.4611833824224,110.0,-1.461183382422405,0.5066417426473746,110.0,220.0,0.5,1.1589762394441283,183.8365797162348,4.667165493644572e+19,1.810283450635543e+20,546.2497315354044,0.0020309491559418525,609284746.7825558,23.849025974025974,16506252.841384977,3875809.106141703,5175363818.181819,3.2573063627438343,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0390,arm-search-p220,0.5,220.0,14750000.0,5.06e+20,16.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,902.8383181613817,0.3501812411569886,2.8556641032398797,4172.280568649774,103.0585317548248,110.0,6.9414682451752014,0.46844787161284,110.0,220.0,0.5,1.1433630591482877,224.10789640147803,5.505190214579268e+19,1.9794809785420733e+20,604.8725075789805,0.0020309491559418525,609284746.7825558,23.849025974025974,16506252.841384977,4589508.625514751,5175363818.181819,3.8946470933235497,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0391,arm-search-p220,0.5,220.0,14750000.0,5.5660000000000007e+20,16.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1125.3799681468288,0.3048033908663466,3.280803396437576,4861.242675041052,92.59283173741619,110.0,17.40716826258381,0.4208765078973463,110.0,220.0,0.5,1.1296211072365,268.51015522397506,6.384166123083351e+19,2.1445833876916653e+20,663.2297151351021,0.0020309491559418525,609284746.7825558,23.849025974025974,16506252.841384977,5347366.942545158,5175363818.181819,4.571422067021695,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0392,arm-search-p220,0.5,220.0,14750000.0,4.048e+20,17.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,614.4440768294099,0.4373510136342302,2.2864929286212425,3279.446782290306,127.52983850379661,110.0,-17.52983850379661,0.5796810841081664,110.0,220.0,0.5,1.070895607262395,147.81432635820045,3.891608200076007e+19,1.6348391799923992e+20,517.6732200559886,0.0020309491559418525,609284746.7825558,23.849025974025974,16506252.841384977,3607391.4605193366,5175363818.181819,3.017606750066883,0.05,4.05,24.9,800000000.0,0.5,0.004
20260903-wall-and-heating:c0393,arm-search-p220,0.5,220.0,14750000.0,4.554e+20,17.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,836.0468613106174,0.366876864142972,2.725710170729926,3965.5022743221552,117.60484297978189,110.0,-7.604842979781893,0.5345674680899177,110.0,220.0,0.5,1.0545357946031173,183.5402787736686,4.687989682565195e+19,1.8082010317434805e+20,580.2468545676585,0.0020309491559418525,609284746.7825558,23.849025974025974,16506252.841384977,4362052.5017543705,5175363818.181819,3.6915265248529168,0.05,4.05,24.9,800000000.0,0.5,0.004
