arm_id,B,density_scale,lcoe,lcoe_1cfe,beta,B_peak,p_fus,wall_load,magnet_capital,p_cryo,total_capital,cas72,fuel,beta_ok,net_positive,peak_field_ok,recirc_ok,tbr_ok,wall_load_ok,feasible
arm-nb3sn,3.0,0.8,152.55950806424343,149.77878540295947,0.19320593315305246,8.3,1758.756401190765,2.003990219202589,295095264.1622638,7.008274999999999,4883313352.424681,37158176.18124923,343799.97720692976,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.82,148.04837192584625,145.35866502721498,0.1980360814818788,8.3,1847.7934440010474,2.1054422240497197,295095264.1622638,7.008274999999999,5016223126.467383,40019121.1972954,361204.8510530305,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.84,145.6044316916682,142.99828696667123,0.20286622981070512,8.3,1939.028932312818,2.2093992166708536,295095264.1622638,7.008274999999999,5151036426.794155,50651582.44695927,379039.47487064,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.86,141.8739267543054,139.34476422090353,0.20769637813953143,8.3,2032.462866126078,2.315861197065992,295095264.1622638,7.008274999999999,5287746921.173324,54586371.02452809,397303.8486597583,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.88,138.42088785578255,135.962870426065,0.21252652646835768,8.3,2128.0952454408257,2.4248281652351324,295095264.1622638,7.008274999999999,5426348521.495724,58628857.24732265,415997.97242038505,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.9,135.2143446726405,132.82227094132122,0.217356674797184,8.3,2225.926070257062,2.536300121178276,295095264.1622638,7.008274999999999,5566835373.120511,62773114.19223027,435121.8461525205,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.92,132.22771072751348,129.8969263739353,0.22218682312601035,8.3,2325.9553405747865,2.6502770648954237,295095264.1622638,7.008274999999999,5709201844.095807,67013401.595842086,454675.46985616465,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.94,129.43804777920698,127.16437184053308,0.22701697145483665,8.3,2428.183056394,2.766758996386574,295095264.1622638,7.008274999999999,5853442514.487585,71344188.35699584,474658.8435313174,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.96,128.22507465277522,126.00473777478581,0.23184711978366299,8.3,2532.609217714701,2.8857459156517273,295095264.1622638,7.008274999999999,5999552165.970875,84391350.80625297,495071.96717797883,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,0.98,125.8542552264104,123.68384763404961,0.2366772681124893,8.3,2639.233824536892,3.007237822690885,295095264.1622638,7.008274999999999,6147525771.781798,89833742.83744644,515914.84079614904,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,1.0,123.62659113364603,121.50301854448666,0.24150741644131557,8.3,2748.0568768605704,3.131234717504045,295095264.1622638,7.008274999999999,6297358487.0898905,95399746.5004968,537187.4643858278,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,1.02,121.52858241047355,119.4490284816802,0.2463375647701419,8.3,2859.078374685737,3.2577366000912074,295095264.1622638,7.008274999999999,6449045639.822994,101083380.28550409,558889.8379470153,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,1.04,119.54834442765925,117.51023861014657,0.25116771309896824,8.3,2972.298318012393,3.3867434704523753,295095264.1622638,7.008274999999999,6602582721.957951,106878828.60684592,581021.9614797113,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,1.06,117.6753807415157,115.6763706349669,0.2559978614277945,8.3,3087.7167068405365,3.518255328587544,295095264.1622638,7.008274999999999,6757965381.277293,112780459.56702161,603583.834983916,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,1.08,117.16046560732737,115.1983930819671,0.26082800975662085,8.3,3205.333541170169,3.6522721744967175,295095264.1622638,7.008274999999999,6915189413.58337,128918459.33359456,626575.4584596293,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,1.1,115.54141660969525,113.6142970965476,0.26565815808544724,8.3,3325.1488210012913,3.7887940081798956,295095264.1622638,7.008274999999999,7074250755.355435,135992393.95096433,649996.8319068518,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,1.12,114.00369144992686,112.10969590915879,0.27048830641427346,8.3,3447.162546333901,3.927820829637076,295095264.1622638,7.008274999999999,7235145476.831574,143200683.2956753,673847.9553255828,violated,satisfied,satisfied,satisfied,satisfied,satisfied,False
arm-nb3sn,3.0,1.14,112.54057066645119,110.67800982961448,0.27531845474309974,8.3,3571.3747171679956,4.069352638868255,295095264.1622638,7.008274999999999,7397869775.495296,150537380.65147525,698128.8287158215,violated,satisfied,satisfied,satisfied,satisfied,violated,False
arm-nb3sn,3.0,1.16,111.14604045261945,109.31335100393555,0.2801486030719261,8.3,3697.785333503584,4.213389435873443,295095264.1622638,7.008274999999999,7562419969.945398,157996700.65425742,722839.4520775699,violated,satisfied,satisfied,satisfied,satisfied,violated,False
arm-nb3sn,3.0,1.18,110.95186418836587,109.14759660627016,0.28497875140075235,8.3,3826.394395340658,4.359931220652632,295095264.1622638,7.008274999999999,7728792494.127489,176690269.95782918,747979.8254108264,violated,satisfied,satisfied,satisfied,satisfied,violated,False
arm-nb3sn,3.0,1.2,109.73485312365732,107.95766094942162,0.2898088997295787,8.3,3957.201902679221,4.508977993205825,295095264.1622638,7.008274999999999,7896983891.905806,185360825.7532222,773549.9487155919,violated,satisfied,satisfied,satisfied,satisfied,violated,False
arm-nb3sn,3.0,1.22,108.57110088005584,106.8197312175867,0.2946390480584051,8.3,4090.207855519273,4.66052975353302,295095264.1622638,7.008274999999999,8066990811.954399,194178652.34292027,799549.8219918661,violated,satisfied,satisfied,satisfied,satisfied,violated,False
arm-nb3sn,3.0,1.24,107.45655905276143,105.72984413429751,0.29946919638723135,8.3,4225.412253860813,4.814586501634219,295095264.1622638,7.008274999999999,8238810002.947662,203137752.78289828,825979.4452396489,violated,satisfied,satisfied,satisfied,satisfied,violated,False
arm-nb3sn,3.0,1.26,107.40424695125854,105.70109662896785,0.30429934471605763,8.3,4362.815097703842,4.971148237509423,295095264.1622638,7.008274999999999,8412438309.031055,223693153.62639442,852838.8184589401,violated,satisfied,satisfied,satisfied,satisfied,violated,False
arm-nb3sn,3.125,0.36,2847.9952724188975,2788.515755007259,0.0801263645972339,8.645833333333334,356.1481712411299,0.40580801938852423,307390900.1690248,7.008274999999999,2473080464.7388887,0.0,69619.49538440327,violated,satisfied,satisfied,violated,satisfied,satisfied,False
