frequency_hz,eta,gain,eta_g,lcoe_per_mwh,f_recirc,p_net_mw,power_positive,viable,attractive
1.0,0.03,150.0,4.5,2665.611404780252,0.462962962962963,0.8000000000000007,True,False,False
1.0,0.03,155.0,4.65,1847.6840883648767,0.4480286738351255,1.1599999999999988,True,False,False
1.0,0.03,160.0,4.8,1417.196027093624,0.4340277777777778,1.5199999999999991,True,False,False
1.0,0.03,165.0,4.95,1151.575733968808,0.4208754208754208,1.8799999999999994,True,False,False
1.0,0.03,170.0,5.1,971.3333922055403,0.4084967320261438,2.24,True,False,False
1.0,0.03,175.0,5.25,841.0043143151778,0.3968253968253968,2.6,True,False,False
1.0,0.03,180.0,5.4,742.3769040197687,0.38580246913580246,2.959999999999998,True,False,False
1.0,0.03,185.0,5.55,665.1385706558937,0.3753753753753754,3.3199999999999985,True,False,False
1.0,0.03,190.0,5.7,603.0120851240812,0.36549707602339176,3.6799999999999984,True,False,False
1.0,0.03,195.0,5.85,551.9576465187303,0.3561253561253562,4.039999999999999,True,False,False
1.0,0.03,200.0,6.0,509.25757059425496,0.3472222222222222,4.3999999999999995,True,False,False
1.0,0.03,205.0,6.15,473.0163296835661,0.33875338753387535,4.759999999999997,True,False,False
1.0,0.03,210.0,6.3,441.8715132759425,0.3306878306878307,5.12,True,False,False
1.0,0.03,215.0,6.45,414.81871654231327,0.32299741602067183,5.48,True,False,False
1.0,0.03,220.0,6.6,391.1011961183099,0.3156565656565657,5.839999999999998,True,False,False
1.0,0.03,225.0,6.75,370.1379683887066,0.30864197530864196,6.199999999999999,True,False,False
1.0,0.03,230.0,6.9,351.4755827269867,0.30193236714975846,6.559999999999999,True,False,False
1.0,0.03,235.0,7.05,334.7549481745787,0.29550827423167847,6.919999999999999,True,False,False
1.0,0.03,240.0,7.2,319.68800275372763,0.2893518518518519,7.279999999999998,True,False,False
1.0,0.03,245.0,7.35,306.04097889086233,0.28344671201814065,7.639999999999998,True,False,False
1.0,0.03,250.0,7.5,293.62218717565503,0.2777777777777778,7.999999999999998,True,False,False
1.0,0.03,255.0,7.65,282.2729564694129,0.27233115468409586,8.359999999999998,True,False,False
1.0,0.03,260.0,7.8,271.8608182068055,0.2670940170940171,8.719999999999999,True,False,False
1.0,0.03,265.0,7.95,262.27431205312735,0.2620545073375262,9.079999999999997,True,False,False
1.0,0.03,270.0,8.1,253.4189800976109,0.257201646090535,9.44,True,False,False
1.0,0.03,275.0,8.25,245.21424395923455,0.2525252525252525,9.8,True,False,False
1.0,0.03,280.0,8.4,237.5909458149164,0.24801587301587302,10.16,True,False,False
1.0,0.03,285.0,8.55,230.48939431165428,0.24366471734892792,10.519999999999996,True,False,False
1.0,0.03,290.0,8.7,223.85779842257864,0.23946360153256704,10.879999999999995,True,False,False
1.0,0.03,295.0,8.85,217.65100227016967,0.23540489642184556,11.239999999999997,True,False,False
1.0,0.03,300.0,9.0,211.82945553411702,0.2314814814814815,11.600000000000001,True,False,False
1.0,0.04,10.0,0.4,nan,5.208333333333333,-9.04,False,False,False
1.0,0.04,15.0,0.6,nan,3.4722222222222223,-8.56,False,False,False
1.0,0.04,20.0,0.8,nan,2.6041666666666665,-8.08,False,False,False
1.0,0.04,25.0,1.0,nan,2.0833333333333335,-7.6,False,False,False
1.0,0.04,30.0,1.2,nan,1.7361111111111112,-7.12,False,False,False
1.0,0.04,35.0,1.4,nan,1.4880952380952377,-6.639999999999999,False,False,False
1.0,0.04,40.0,1.6,nan,1.3020833333333333,-6.16,False,False,False
1.0,0.04,45.0,1.8,nan,1.1574074074074072,-5.680000000000001,False,False,False
1.0,0.04,50.0,2.0,nan,1.0416666666666667,-5.2,False,False,False
1.0,0.04,55.0,2.2,nan,0.9469696969696969,-4.72,False,False,False
1.0,0.04,60.0,2.4,nan,0.8680555555555556,-4.24,False,False,False
1.0,0.04,65.0,2.6,nan,0.8012820512820511,-3.76,False,False,False
1.0,0.04,70.0,2.8,nan,0.7440476190476188,-3.2799999999999994,False,False,False
1.0,0.04,75.0,3.0,nan,0.6944444444444444,-2.8000000000000003,False,False,False
1.0,0.04,80.0,3.2,nan,0.6510416666666666,-2.32,False,False,False
1.0,0.04,85.0,3.4,nan,0.6127450980392156,-1.8400000000000005,False,False,False
1.0,0.04,90.0,3.6,nan,0.5787037037037036,-1.3600000000000012,False,False,False
1.0,0.04,95.0,3.8,nan,0.5482456140350876,-0.8799999999999997,False,False,False
1.0,0.04,100.0,4.0,nan,0.5208333333333334,-0.40000000000000036,False,False,False
1.0,0.04,105.0,4.2,26385.50358082622,0.49603174603174605,0.08000000000000007,True,False,False
1.0,0.04,110.0,4.4,3795.1300798300604,0.47348484848484845,0.5600000000000005,True,False,False
1.0,0.04,115.0,4.6,2057.4090412918977,0.45289855072463764,1.0399999999999987,True,False,False
1.0,0.04,120.0,4.8,1417.196027093624,0.4340277777777778,1.5199999999999991,True,False,False
1.0,0.04,125.0,5.0,1084.2852597105216,0.41666666666666663,1.9999999999999996,True,False,False
1.0,0.04,130.0,5.2,880.243176475717,0.40064102564102555,2.48,True,False,False
1.0,0.04,135.0,5.4,742.3769040197683,0.3858024691358024,2.9600000000000004,True,False,False
1.0,0.04,140.0,5.6,642.984940156177,0.3720238095238094,3.440000000000001,True,False,False
1.0,0.04,145.0,5.8,567.9338654020373,0.35919540229885055,3.919999999999999,True,False,False
1.0,0.04,150.0,6.0,509.25757059425496,0.3472222222222222,4.3999999999999995,True,False,False
1.0,0.04,155.0,6.2,462.12415345357743,0.33602150537634407,4.879999999999998,True,False,False
1.0,0.04,160.0,6.4,423.4325423679465,0.3255208333333333,5.36,True,False,False
1.0,0.04,165.0,6.6,391.10119611830964,0.31565656565656564,5.840000000000001,True,False,False
1.0,0.04,170.0,6.8,363.68094043823805,0.3063725490196078,6.319999999999999,True,False,False
1.0,0.04,175.0,7.0,340.131779677706,0.2976190476190476,6.799999999999999,True,False,False
1.0,0.04,180.0,7.2,319.68800275372763,0.2893518518518518,7.279999999999998,True,False,False
1.0,0.04,185.0,7.4,301.7733528718907,0.2815315315315315,7.76,True,False,False
1.0,0.04,190.0,7.6,285.9458466656077,0.2741228070175438,8.24,True,False,False
1.0,0.04,195.0,7.8,271.8608182068055,0.2670940170940171,8.719999999999999,True,False,False
1.0,0.04,200.0,8.0,259.24553184805205,0.2604166666666667,9.2,True,False,False
1.0,0.04,205.0,8.2,247.88134826867923,0.2540650406504065,9.68,True,False,False
1.0,0.04,210.0,8.4,237.5909458149164,0.24801587301587302,10.16,True,False,False
1.0,0.04,215.0,8.6,228.22900072540284,0.24224806201550392,10.64,True,False,False
1.0,0.04,220.0,8.8,219.67528111124292,0.23674242424242423,11.120000000000001,True,False,False
1.0,0.04,225.0,9.0,211.82945553411702,0.2314814814814815,11.600000000000001,True,False,False
1.0,0.04,230.0,9.2,204.60713927437865,0.22644927536231882,12.079999999999998,True,False,False
1.0,0.04,235.0,9.4,197.9368471873591,0.22163120567375888,12.559999999999999,True,False,False
1.0,0.04,240.0,9.6,191.75761954846362,0.2170138888888889,13.039999999999997,True,False,False
1.0,0.04,245.0,9.8,186.01715363540688,0.21258503401360546,13.519999999999998,True,False,False
1.0,0.04,250.0,10.0,180.67031967067405,0.20833333333333331,14.0,True,False,False
1.0,0.04,255.0,10.2,175.67797193564726,0.20424836601307186,14.48,True,True,False
1.0,0.04,260.0,10.4,171.00598876115694,0.20032051282051277,14.96,True,True,False
1.0,0.04,265.0,10.6,166.6244915871531,0.19654088050314464,15.44,True,True,False
1.0,0.04,270.0,10.8,162.50720529801382,0.1929012345679012,15.92,True,True,False
1.0,0.04,275.0,11.0,158.63093088921437,0.1893939393939394,16.400000000000002,True,True,False
1.0,0.04,280.0,11.2,154.9751081055599,0.1860119047619047,16.88,True,True,False
