arm_id,sweep,R,a,availability,discount_rate,eta_th,lcoe,wall_load,p_fus,plasma_volume,total_capital,magnet_capital,overnight_capital,lcoe_1cfe,p_net,rec_frac,q_eng,p_th,p_et,cas72,turbine_cost,heat_rejection_cost,bop_capital,beta,beta_ok,net_positive,peak_field_ok,recirc_ok,tbr_ok,wall_load_ok,feasible
arm-rankine-paper,grid,4.0,1.3,0.85,0.07,0.333,401.0714707846975,3.1312347175040456,865.5297249954552,133.85827224320653,5390906429.552087,1991644077.5855827,5390906429.552087,393.1934037517453,,,,,,20488629.31911193,71225279.4447121,36969896.79481699,157000153.51235762,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.0,1.35,0.85,0.07,0.333,369.0234193117689,3.2602919329571804,933.3893040261639,144.3530776113869,5539187858.464996,2024838145.5453432,5539187858.464996,361.8038357096288,,,,,,22487961.460304465,76542074.8455845,39729610.4636414,168719836.4765883,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.0,1.4,0.85,0.07,0.333,342.14858475139494,3.3893917415507295,1003.80962188822,155.24391337081937,5690185836.605121,2058032213.5051022,5690185836.605121,335.48034703718,,,,,,24585583.235298384,82059504.03516904,42593464.270912,180881771.6281484,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.0,1.45,0.85,0.07,0.333,319.30046516317907,3.5185300213678774,1076.7906785816238,166.53077952150394,5843907557.417108,2091226281.4648623,5843907557.417108,313.10028954275276,,,,,,26781854.792091336,87777567.01346576,45561458.21662882,193485958.967038,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.0,1.5,0.85,0.07,0.333,300.69630463245875,3.6477031657314125,1152.332474106375,178.2136760634406,6000358889.091852,2124420349.4246216,6000358889.091852,294.89819284198836,,,,,,31554640.878103223,93696263.78047466,48633592.30079184,206532398.49325708,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.0,1.55,0.85,0.07,0.333,283.6529129299243,3.776908005137119,1230.4350084624741,190.2926029966294,6159544740.087892,2157614417.3843813,6159544740.087892,278.20369696664505,,,,,,34262261.79145331,99815594.33619574,51809866.523401074,220021090.20680568,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.0,1.6,0.85,0.07,0.333,268.71762147684706,3.906141742963626,1311.0982816499204,202.76756032107025,6321469311.67708,2190808485.344141,6321469311.67708,263.5738551473896,,,,,,37091374.821663484,106135558.68062897,55090280.88445651,233952034.1076837,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.0,1.65,0.85,0.07,0.333,255.52837378463303,4.035401902203437,1394.3222936687137,215.63854803676313,6486136276.111952,2224002553.303901,6486136276.111952,250.65411053510925,,,,,,40042624.95542223,112656156.81377435,58474835.38395813,248325230.19589108,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.0,1.7,0.85,0.07,0.333,243.80118183427518,4.164686281072113,1480.107044518855,228.90556614370814,6653548904.595148,2257196621.2636604,6653548904.595148,239.16635212412638,,,,,,43116640.63959048,119377388.73563188,61963530.02190595,263140678.47142798,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
arm-rankine-paper,grid,4.5,0.8,0.85,0.07,0.333,2790.300871648994,1.844566934177268,368.74639171404004,57.028376340301,4476050965.778058,1867166322.7364836,4476050965.778058,2732.188197199275,,,,,,5443619.215813689,32302324.4345519,16766709.936253391,71203229.17044228,0.026834157382368398,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
