case_id,arm_id,I_coil_A,n_e0,T_i0_keV,p_input_MW,source,p_net_MW,rec_frac,q_eng,p_aux_required_MW,p_input_installed_MW,tau_E_s,p_rad_MW,n_He0,n_D0,W_th_MJ,beta_limit,wall_load_limit,B_max_T,sigma_allow_Pa,recirc_threshold
20260901-sustainment-fence:c0010,arm-grid-I-ne,9000000.0,3.542e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,445.7723495917175,0.4389065840813173,2.2783891521999307,624.4903137003116,50.0,0.45549466469707806,108.09310445709251,1.2858948404906764e+19,1.6424105159509325e+20,402.38218547451,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0011,arm-grid-I-ne,9000000.0,4.048e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,652.1554786907043,0.3525302202497149,2.836636244381119,697.6486712644568,50.0,0.4460479895162523,140.41442801244872,1.6186807516922454e+19,1.8621319248307755e+20,458.9813123484065,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0012,arm-grid-I-ne,9000000.0,4.554e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,881.1279747215082,0.29129388568596243,3.432959114967755,765.812488115437,50.0,0.4379749073141289,177.01012922239067,1.980964278714712e+19,2.0789035721285288e+20,515.4055265407545,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0013,arm-grid-I-ne,9000000.0,5.06e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1131.8588453143493,0.24632004056741053,4.059758993610305,829.1195203080916,50.0,0.43095665929682203,217.8824113277433,2.371140215467219e+19,2.292885978453278e+20,571.6643464785174,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0014,arm-grid-I-ne,9000000.0,5.566e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1403.5793568302702,0.2123133837191509,4.7100186643099455,887.7335086063299,50.0,0.4247712273686967,263.032915629393,2.787785089794166e+19,2.5042214910205834e+20,627.7662129568213,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0015,arm-grid-I-ne,9000000.0,6.072e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1695.57540828254,0.18596526425035295,5.3773483130363795,941.8326298148346,50.0,0.41925818808615267,312.46290210328726,3.229623624033351e+19,2.713037637596665e+20,683.7186880185433,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0016,arm-grid-I-ne,9000000.0,6.578e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,2007.1812739755537,0.1651253241343544,6.056006280334983,991.6022849206295,50.0,0.4142981130965304,366.1733619182342,3.6955037651778314e+19,2.919449623482217e+20,739.528603018528,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0017,arm-grid-I-ne,9000000.0,7.084e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,2337.7743841984006,0.14834816973678208,6.740898804308306,1037.230491224747,50.0,0.40979986630765747,424.16509075040756,4.184377565298525e+19,3.1235622434701476e+20,795.2021719973777,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0018,arm-grid-I-ne,10000000.0,3.036e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,246.27736694768208,0.5817342032959761,1.718998116896382,399.57503630443045,50.0,0.5891800030384663,80.94796850581604,1.2043453581700852e+19,1.3975654641829914e+20,344.2932962501557,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0019,arm-grid-I-ne,10000000.0,3.542e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,421.0963528582569,0.45243300373422507,2.2102719999344584,451.132736873301,50.0,0.5752727934287052,109.05662724464709,1.5686083108163789e+19,1.6141391689183622e+20,400.7057729974881,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0020,arm-grid-I-ne,10000000.0,4.048e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,617.4952393566439,0.3643929685398596,2.744290055889522,497.86028186085616,50.0,0.5636628104955059,141.43160674938653,1.969212701925045e+19,1.8270787298074955e+20,456.90275509293474,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0021,arm-grid-I-ne,10000000.0,4.554e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,834.4886618794307,0.30180540990381516,3.3133932235300163,539.9833566913693,50.0,0.5537532363150404,178.07695374288807,2.4037851325057384e+19,2.036621486749426e+20,512.8983161343182,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0022,arm-grid-I-ne,10000000.0,5.06e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1071.180275007412,0.2557223121998491,3.9104917807034836,577.7452642105251,50.0,0.5451476309585817,218.99557093952887,2.8702604892089086e+19,2.242973951079109e+20,568.7047016711045,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0023,arm-grid-I-ne,10000000.0,5.566e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1326.750061633865,0.2207941820603257,4.52910484628068,611.3947125013519,50.0,0.5375701542373721,264.1896208000982,3.3668187557507805e+19,2.446318124424922e+20,624.3327038951305,0.05,4.05,24.9,800000000.0,0.5
